dataset_%,origin_attr_%,dest_attr_%,or_bin_loaded_rows,dst_bin_loaded_rows,acc_bin_loaded_rows,or_bin_loaded_size (B),dst_bin_loaded_size (B),acc_bin_loaded_size (B),or_bin_load_time (s),dst_bin_load_time (s),acc_bin_load_time (s),time_filtering (s),time_write_bin (s),total_time (s),result_acc_size (B),num_threads,RAM_min (B),RAM_max (B),RAM_max-min (B)
1,att5,att5,89,7,15505,712,56,248080,0.000224106,0.000127649,0.000444688,0.000990897,0.000237528,0.00316885,9968,16,4732993536,4733366272,372736
1,att5,att25,89,41,90815,712,328,1453040,0.000270274,0.000133129,0.00450962,0.00205616,0.000237519,0.00839465,58384,16,4733046784,4734959616,1912832
1,att5,att50,89,83,183845,712,664,2941520,0.000391655,0.000241905,0.00921182,0.00226878,0.000288568,0.0140042,118192,16,4734648320,4737105920,2457600
1,att5,att75,89,125,276875,712,1000,4430000,0.000498652,0.000171682,0.011489,0.0024694,0.000336995,0.0164152,178000,16,4705546240,4709646336,4100096
1,att5,att100,89,167,369905,712,1336,5918480,0.000348073,0.000257111,0.0131762,0.00278574,0.0005179,0.0182495,237808,16,4705001472,4710965248,5963776
1,att25,att5,532,7,15505,4256,56,248080,0.000328338,0.000124791,0.000745952,0.0010781,0.000231805,0.00345877,59584,16,4707205120,4707577856,372736
1,att25,att25,532,41,90815,4256,328,1453040,0.000298872,0.000167479,0.00385312,0.00299107,0.000441431,0.00879276,348992,16,4682305536,4684169216,1863680
1,att25,att50,532,83,183845,4256,664,2941520,0.000358204,0.000153538,0.00192049,0.00105779,0.00026728,0.00461298,706496,16,4682960896,4686315520,3354624
1,att25,att75,532,125,276875,4256,1000,4430000,0.000484585,0.00024887,0.0112191,0.00460294,0.000724792,0.018803,1064000,16,4692250624,4702822400,10571776
1,att25,att100,532,167,369905,4256,1336,5918480,0.000295933,0.000150866,0.0053381,0.00266444,0.00100408,0.0104819,1421504,16,4718563328,4730634240,12070912
1,att50,att5,1086,7,15505,8688,56,248080,0.000526213,0.000117615,0.000279146,0.000423489,0.000123874,0.0025736,121632,16,4705722368,4706095104,372736
1,att50,att25,1086,41,90815,8688,328,1453040,0.00016619,0.000127572,0.0038271,0.00134567,0.000876854,0.00715789,712416,16,4701904896,4704514048,2609152
1,att50,att50,1086,83,183845,8688,664,2941520,0.00055465,0.000263962,0.00313568,0.0022644,0.00176083,0.00969548,1442208,16,4700499968,4709072896,8572928
1,att50,att75,1086,125,276875,8688,1000,4430000,0.000373813,3.3939e-05,0.00276798,0.00496688,0.00147776,0.0105208,2172000,16,4700905472,4713951232,13045760
1,att50,att100,1086,167,369905,8688,1336,5918480,0.000150456,6.4484e-05,0.00634893,0.00966458,0.00122223,0.0184268,2901792,16,4712878080,4727156736,14278656
1,att75,att5,1640,7,15505,13120,56,248080,0.000666958,0.000240869,0.000646266,0.000394263,0.000152873,0.00336325,183680,16,4683636736,4684009472,372736
1,att75,att25,1640,41,90815,13120,328,1453040,0.000643727,0.000239709,0.00521446,0.00276137,0.000838902,0.0111526,1075840,16,4688461824,4694798336,6336512
1,att75,att50,1640,83,183845,13120,664,2941520,0.000116747,4.1513e-05,0.00197834,0.00286704,0.00292597,0.0085696,2177920,16,4688859136,4701159424,12300288
1,att75,att75,1640,125,276875,13120,1000,4430000,0.000523151,0.000152556,0.0048161,0.0140818,0.00333209,0.0243152,3280000,16,4688531456,4702683136,14151680
1,att75,att100,1640,167,369905,13120,1336,5918480,0.000576234,0.000162443,0.0117123,0.0168311,0.00381859,0.0342697,4382080,16,4699803648,4718272512,18468864
1,att100,att5,2193,7,15505,17544,56,248080,0.000698747,0.000212843,0.000256727,0.000508561,0.000155006,0.00292381,245616,16,4718637056,4719009792,372736
1,att100,att25,2193,41,90815,17544,328,1453040,0.000535426,0.00016137,0.00281848,0.00166357,0.000869245,0.00697267,1438608,16,4701696000,4706689024,4993024
1,att100,att50,2193,83,183845,17544,664,2941520,0.000578722,0.000178446,0.00754846,0.011036,0.00172086,0.0220906,2912304,16,4700454912,4712153088,11698176
1,att100,att75,2193,125,276875,17544,1000,4430000,0.000658333,0.000227567,0.011078,0.00984383,0.00233602,0.0254332,4386000,16,4708556800,4726816768,18259968
1,att100,att100,2193,167,369905,17544,1336,5918480,0.000597304,0.000208371,0.0116389,0.00959617,0.0022288,0.0252558,5859696,16,4701831168,4722638848,20807680
2,att5,att5,178,14,62034,1424,112,992544,0.000311961,0.000125215,0.00113131,0.000444533,4.5793e-05,0.00286659,39872,16,4707504128,4708622336,1118208
2,att5,att25,178,81,358911,1424,648,5742576,0.000295831,0.000133063,0.0100936,0.00320778,0.00037835,0.0151917,230688,16,4715749376,4724695040,8945664
2,att5,att50,178,165,731115,1424,1320,11697840,0.000326246,0.000153943,0.00963794,0.00110474,0.00017923,0.0123103,469920,16,4711424000,4726460416,15036416
2,att5,att75,178,249,1103319,1424,1992,17653104,0.000383827,0.000161361,0.00966651,0.00160773,0.000309817,0.0130395,709152,16,4707962880,4729208832,21245952
2,att5,att100,178,333,1475523,1424,2664,23608368,0.000332162,0.000209585,0.0252021,0.00275358,0.000456272,0.0299266,948384,16,4712480768,4740321280,27840512
2,att25,att5,1064,14,62034,8512,112,992544,0.000394441,0.000126129,0.00163048,0.00184348,0.000414467,0.00575998,238336,16,4713820160,4714938368,1118208
2,att25,att25,1064,81,358911,8512,648,5742576,0.000538577,3.7528e-05,0.00813039,0.00656986,0.000807461,0.0171489,1378944,16,4718362624,4730150912,11788288
2,att25,att50,1064,165,731115,8512,1320,11697840,0.000404998,0.000141582,0.0072209,0.00730597,0.00159987,0.0177709,2808960,16,4716081152,4737724416,21643264
2,att25,att75,1064,249,1103319,8512,1992,17653104,0.000291488,6.7895e-05,0.0123703,0.00905866,0.00203556,0.0249038,4238976,16,4690714624,4719693824,28979200
2,att25,att100,1064,333,1475523,8512,2664,23608368,0.000561222,0.000298661,0.0227839,0.009028,0.00177672,0.0358028,5668992,16,4697997312,4733091840,35094528
2,att50,att5,2172,14,62034,17376,112,992544,0.000769888,0.00018392,0.000849243,0.000865905,0.000234437,0.00396558,486528,16,4697096192,4698587136,1490944
2,att50,att25,2172,81,358911,17376,648,5742576,0.000754472,5.2722e-05,0.0047047,0.00390995,0.00152659,0.0119467,2814912,16,4696748032,4709482496,12734464
2,att50,att50,2172,165,731115,17376,1320,11697840,0.000774652,5.536e-05,0.00933334,0.00899192,0.0038718,0.0241757,5734080,16,4694077440,4720492544,26415104
2,att50,att75,2172,249,1103319,17376,1992,17653104,0.00034694,6.9036e-05,0.0134705,0.0206494,0.00583097,0.0416254,8653248,16,4693377024,4726923264,33546240
2,att50,att100,2172,333,1475523,17376,2664,23608368,0.000541253,8.5782e-05,0.0213619,0.0268591,0.0082218,0.0582854,11572416,16,4692459520,4737236992,44777472
2,att75,att5,3279,14,62034,26232,112,992544,0.00046783,5.1341e-05,0.000746134,0.00102967,0.000275822,0.00344261,734496,16,4693544960,4694921216,1376256
2,att75,att25,3279,81,358911,26232,648,5742576,0.00110822,0.000195558,0.00743821,0.0121766,0.00225597,0.0246071,4249584,16,4699742208,4716371968,16629760
2,att75,att50,3279,165,731115,26232,1320,11697840,0.000825119,0.000146939,0.0183172,0.015421,0.00351746,0.0392666,8656560,16,4702617600,4732739584,30121984
2,att75,att75,3279,249,1103319,26232,1992,17653104,0.000419635,6.9449e-05,0.0134398,0.0413441,0.0114872,0.0679368,13063536,16,4708986880,4749950976,40964096
2,att75,att100,3279,333,1475523,26232,2664,23608368,0.000253207,6.8177e-05,0.0132324,0.020332,0.00562891,0.0400163,17470512,16,4720136192,4771454976,51318784
2,att100,att5,4387,14,62034,35096,112,992544,0.000900014,0.000145621,0.00211919,0.00557514,0.00147958,0.0116496,982688,16,4700749824,4704358400,3608576
2,att100,att25,4387,81,358911,35096,648,5742576,0.000861476,0.000140764,0.0112553,0.0209614,0.00346888,0.0378112,5685552,16,4702760960,4721827840,19066880
2,att100,att50,4387,165,731115,35096,1320,11697840,0.000980132,0.000151807,0.0194542,0.0203292,0.00680203,0.0490228,11581680,16,4704501760,4736925696,32423936
2,att100,att75,4387,249,1103319,35096,1992,17653104,0.000894267,3.9041e-05,0.01448,0.0456361,0.0072436,0.0693713,17477808,16,4707225600,4769181696,61956096
2,att100,att100,4387,333,1475523,35096,2664,23608368,0.000884078,0.000187737,0.0127607,0.03773,0.0110549,0.0635993,23373936,16,4706525184,4764385280,57860096
4,att5,att5,355,27,239274,2840,216,3828384,0.000383098,0.000123321,0.00600897,0.00248137,0.00019499,0.0103815,153360,16,4692344832,4696072192,3727360
4,att5,att25,355,162,1435644,2840,1296,22970304,0.000387901,0.000139737,0.0102395,0.00231529,0.000307971,0.0143969,920160,16,4691456000,4720156672,28700672
4,att5,att50,355,330,2924460,2840,2640,46791360,0.000511842,0.000316246,0.0333725,0.00403976,0.000690871,0.0404863,1874400,16,4690259968,4743299072,53039104
4,att5,att75,355,498,4413276,2840,3984,70612416,0.000350251,0.000175222,0.0313964,0.00571054,0.000878941,0.0395077,2828640,16,4695470080,4776787968,81317888
4,att5,att100,355,666,5902092,2840,5328,94433472,0.000195657,8.4402e-05,0.0427937,0.00762322,0.00152644,0.0532245,3782880,16,4714455040,4821008384,106553344
4,att25,att5,2127,27,239274,17016,216,3828384,0.000321842,4.2861e-05,0.00163477,0.00144698,0.000457599,0.00483913,918864,16,4713009152,4721582080,8572928
4,att25,att25,2127,162,1435644,17016,1296,22970304,0.000599862,0.000139791,0.0199293,0.00773764,0.00221228,0.0316535,5513184,16,4703350784,4740157440,36806656
4,att25,att50,2127,330,2924460,17016,2640,46791360,0.00069962,0.000187506,0.0294414,0.0138495,0.00479574,0.0517529,11230560,16,4704870400,4772618240,67747840
4,att25,att75,2127,498,4413276,17016,3984,70612416,0.000613699,0.000267634,0.0375605,0.0267651,0.00865842,0.0751392,16947936,16,4701028352,4796944384,95916032
4,att25,att100,2127,666,5902092,17016,5328,94433472,0.000691254,0.000109931,0.0450979,0.0251695,0.00856758,0.0806945,22665312,16,4703059968,4832591872,129531904
4,att50,att5,4343,27,239274,34744,216,3828384,0.000590568,0.000115072,0.0032561,0.00390955,0.00109004,0.00983301,1876176,16,4717260800,4729106432,11845632
4,att50,att25,4343,162,1435644,34744,1296,22970304,0.000802963,0.000138789,0.0252134,0.0190388,0.00413774,0.0503801,11257056,16,4718514176,4760547328,42033152
4,att50,att50,4343,330,2924460,34744,2640,46791360,0.000892693,0.0002027,0.0205403,0.0266478,0.00810677,0.0574429,22931040,16,4703375360,4782333952,78958592
4,att50,att75,4343,498,4413276,34744,3984,70612416,0.000835023,0.00014122,0.0351466,0.0383392,0.0117338,0.0873189,34605024,16,4696485888,4810657792,114171904
4,att50,att100,4343,666,5902092,34744,5328,94433472,0.00088866,0.000231195,0.0436137,0.071941,0.0160787,0.133886,46279008,16,4694081536,4840976384,146894848
4,att75,att5,6558,27,239274,52464,216,3828384,0.00100174,2.9052e-05,0.00158609,0.00625552,0.00233771,0.0122742,2833056,16,4687364096,4700499968,13135872
4,att75,att25,6558,162,1435644,52464,1296,22970304,0.00128274,0.000140352,0.0211425,0.0258826,0.00540865,0.0549105,16998336,16,4715859968,4765880320,50020352
4,att75,att50,6558,330,2924460,52464,2640,46791360,0.00139846,0.000117786,0.0322045,0.0392704,0.0149046,0.089038,34626240,16,4769001472,4857991168,88989696
4,att75,att75,6558,498,4413276,52464,3984,70612416,0.00134263,0.000192738,0.0326695,0.0549117,0.0291451,0.119469,52254144,16,4770578432,4902088704,131510272
4,att75,att100,6558,666,5902092,52464,5328,94433472,0.00111055,8.1116e-05,0.0446869,0.0747574,0.0229149,0.144573,69882048,16,4765859840,4938993664,173133824
4,att100,att5,8774,27,239274,70192,216,3828384,0.000919439,5.0915e-05,0.00223264,0.0100505,0.00231237,0.016709,3790368,16,4768919552,4786208768,17289216
4,att100,att25,8774,162,1435644,70192,1296,22970304,0.000749322,3.3421e-05,0.019053,0.0355532,0.0128801,0.0693103,22742208,16,4761448448,4815392768,53944320
4,att100,att50,8774,330,2924460,70192,2640,46791360,0.00199854,0.000283661,0.0352995,0.0613959,0.0217637,0.122324,46326720,16,4763729920,4867600384,103870464
4,att100,att75,8774,498,4413276,70192,3984,70612416,0.000544686,6.2032e-05,0.0315627,0.073349,0.0239307,0.130053,69911232,16,4778831872,4927471616,148639744
4,att100,att100,8774,666,5902092,70192,5328,94433472,0.0015725,0.000236115,0.0817113,0.0949705,0.0307316,0.210502,93495744,16,4763791360,4968488960,204697600
8,att5,att5,709,54,957150,5672,432,15314400,0.000445623,0.00013763,0.00714498,0.00231224,0.000326715,0.0115185,612576,16,4757995520,4777656320,19660800
8,att5,att25,709,323,5725175,5672,2584,91602800,0.000454405,0.000160351,0.0375728,0.00835083,0.00139861,0.049142,3664112,16,4749762560,4851732480,101969920
8,att5,att50,709,660,11689134,5672,5280,187026144,0.000234937,4.8326e-05,0.0744589,0.0153173,0.0019721,0.0927644,7480976,16,4754915328,4960006144,205090816
8,att5,att75,709,996,17644734,5672,7968,282315744,0.000505986,0.000258425,0.134046,0.0229793,0.00478885,0.16394,11292560,16,4767641600,5074317312,306675712
8,att5,att100,709,1332,23600334,5672,10656,377605344,0.000590801,0.000332185,0.142194,0.0302501,0.00447556,0.179348,15104144,16,4770140160,5175877632,405737472
8,att25,att5,4254,54,957150,34032,432,15314400,0.000692034,0.000132142,0.0137856,0.0125963,0.00354635,0.0320294,3675456,16,4787798016,4810792960,22994944
8,att25,att25,4254,323,5725175,34032,2584,91602800,0.000965644,0.000207311,0.0368049,0.0288275,0.00767405,0.0756978,21984672,16,4778491904,4901347328,122855424
8,att25,att50,4254,660,11689134,34032,5280,187026144,0.000999138,0.000266476,0.0711136,0.0525313,0.0144759,0.140602,44886144,16,4770910208,5015076864,244166656
8,att25,att75,4254,996,17644734,34032,7968,282315744,0.000967549,0.000245509,0.110225,0.0812472,0.0216917,0.215682,67755648,16,4770922496,5132038144,361115648
8,att25,att100,4254,1332,23600334,34032,10656,377605344,0.00099888,0.000119521,0.147418,0.129215,0.026638,0.305474,90625152,16,4773507072,5252972544,479465472
8,att50,att5,8686,54,957150,69488,432,15314400,0.0016195,0.000135008,0.00832911,0.00885605,0.00235735,0.022559,7504704,16,4771319808,4801335296,30015488
8,att50,att25,8686,323,5725175,69488,2584,91602800,0.00140213,7.2981e-05,0.0467838,0.0538206,0.026917,0.130278,44889248,16,4727644160,4869681152,142036992
8,att50,att50,8686,660,11689134,69488,5280,187026144,0.00208052,0.000346504,0.0791028,0.0973599,0.0414566,0.221875,91650560,16,4724940800,5030375424,305434624
8,att50,att75,8686,996,17644734,69488,7968,282315744,0.000641737,9.4089e-05,0.112425,0.14988,0.0426672,0.306705,138346496,16,4717875200,5149978624,432103424
8,att50,att100,8686,1332,23600334,69488,10656,377605344,0.00106625,8.4369e-05,0.150836,0.19407,0.0636365,0.410972,185042432,16,4718088192,5294944256,576856064
8,att75,att5,13117,54,957150,104936,432,15314400,0.00235377,0.000126361,0.0165095,0.0220644,0.00788875,0.0504215,11333088,16,4719300608,4757331968,38031360
8,att75,att25,13117,323,5725175,104936,2584,91602800,0.0023002,3.7468e-05,0.0367935,0.0690671,0.0231423,0.132144,67788656,16,4720025600,4887826432,167800832
8,att75,att50,13117,660,11689134,104936,5280,187026144,0.002214,6.3351e-05,0.0696206,0.179649,0.0534657,0.305875,138404496,16,4727660544,5065949184,338288640
8,att75,att75,13117,996,17644734,104936,7968,282315744,0.00115369,9.1227e-05,0.113014,0.246498,0.0618717,0.423702,208921488,16,4714991616,5215920128,500928512
8,att75,att100,13117,1332,23600334,104936,10656,377605344,0.00298694,0.000444561,0.14655,0.274899,0.0882692,0.514909,279438480,16,4712243200,5379923968,667680768
8,att100,att5,17548,54,957150,140384,432,15314400,0.00260917,2.9103e-05,0.00678166,0.0308111,0.0111064,0.0523266,15161472,16,4710715392,4750172160,39456768
8,att100,att25,17548,323,5725175,140384,2584,91602800,0.00354501,0.000262452,0.0481195,0.0925999,0.0319398,0.178252,90688064,16,4707504128,4899774464,192270336
8,att100,att50,17548,660,11689134,140384,5280,187026144,0.00120942,8.0273e-05,0.0810304,0.193628,0.0590472,0.336069,185158432,16,4707975168,5091467264,383492096
8,att100,att75,17548,996,17644734,140384,7968,282315744,0.00152317,6.3313e-05,0.11095,0.282649,0.0902709,0.486335,279496480,16,4708642816,5281837056,573194240
8,att100,att100,17548,1332,23600334,140384,10656,377605344,0.00352899,0.000456359,0.154762,0.355481,0.128548,0.644553,373834528,16,4709920768,5474070528,764149760
16,att5,att5,1419,108,3828708,11352,864,61259328,0.000441536,7.2477e-05,0.0286286,0.007077,0.000652386,0.0381929,2452032,16,4710883328,4780494848,69611520
16,att5,att25,1419,646,22892332,11352,5168,366277312,0.000783011,8.9256e-05,0.143196,0.0335934,0.00464228,0.183489,14661040,16,4709990400,5099589632,389599232
16,att5,att50,1419,1319,46724055,11352,10552,747584880,0.000707017,0.000364074,0.264033,0.0598773,0.00997133,0.336511,29923824,16,4709130240,5497442304,788312064
16,att5,att75,1419,1992,70564792,11352,15936,1129036672,0.000267729,0.000141193,0.39439,0.0904407,0.0151853,0.501211,45192176,16,4710764544,5895790592,1185026048
16,att5,att100,1419,2665,94414422,11352,21320,1510630752,0.000717561,0.000589807,0.542243,0.129672,0.0189271,0.69314,60465968,16,4711088128,6297702400,1586614272
16,att25,att5,8509,108,3828708,68072,864,61259328,0.00153363,3.6717e-05,0.0300147,0.0162756,0.00557008,0.0545857,14703552,16,4712738816,4797480960,84742144
16,att25,att25,8509,646,22892332,68072,5168,366277312,0.00144088,9.4735e-05,0.142103,0.0999661,0.0277213,0.272495,87914848,16,4708712448,5172318208,463605760
16,att25,att50,8509,1319,46724055,68072,10552,747584880,0.000606621,0.000124461,0.272429,0.214438,0.062258,0.551148,179437456,16,4708282368,5644926976,936644608
16,att25,att75,8509,1992,70564792,68072,15936,1129036672,0.000515722,0.000136845,0.405431,0.322125,0.0883488,0.817308,270994144,16,4716904448,5859094528,1142190080
16,att25,att100,8509,2665,94414422,68072,21320,1510630752,0.00166535,0.000596428,0.558373,0.468653,0.1179,1.14887,362584768,16,4123680768,6019911680,1896230912
16,att50,att5,17371,108,3828708,138968,864,61259328,0.00153935,6.6918e-05,0.0263519,0.0363286,0.0139089,0.0795046,30017088,16,4176711680,4278427648,101715968
16,att50,att25,17371,646,22892332,138968,5168,366277312,0.000882393,8.6023e-05,0.143843,0.241902,0.0533422,0.441159,179476288,16,4183969792,4738068480,554098688
16,att50,att50,17371,1319,46724055,138968,10552,747584880,0.00379133,0.000665583,0.270837,0.39034,0.115483,0.783138,366317568,16,4184854528,5308706816,1123852288
16,att50,att75,17371,1992,70564792,138968,15936,1129036672,0.00215048,8.1505e-05,0.395538,0.599154,0.186198,1.18398,553229760,16,4182986752,5875830784,1692844032
16,att50,att100,17371,2665,94414422,138968,21320,1510630752,0.00276003,0.000132448,0.538334,0.81517,0.236407,1.59369,740210960,16,4176945152,6446428160,2269483008
16,att75,att5,26234,108,3828708,209872,864,61259328,0.00134255,3.131e-05,0.0263215,0.0477699,0.0179493,0.0944203,45332352,16,4269600768,4390395904,120795136
16,att75,att25,26234,646,22892332,209872,5168,366277312,0.00203392,8.7855e-05,0.139643,0.284149,0.0819473,0.509075,271048192,16,4260601856,4908863488,648261632
16,att75,att50,26234,1319,46724055,209872,10552,747584880,0.00299853,6.728e-05,0.267712,0.552535,0.17625,1.00042,553218992,16,4262596608,5576785920,1314189312
16,att75,att75,26234,1992,70564792,209872,15936,1129036672,0.00166548,0.000133904,0.405789,0.949385,0.264398,1.62252,835495888,16,4265295872,6238605312,1973309440
16,att75,att100,26234,2665,94414422,209872,21320,1510630752,0.00271915,0.00011612,0.551726,1.09888,0.350706,2.00501,1117878192,16,4263452672,6905122816,2641670144
16,att100,att5,35097,108,3828708,280776,864,61259328,0.0116466,8.5249e-05,0.0347235,0.0700834,0.0256289,0.143437,60647616,16,4368138240,4507308032,139169792
16,att100,att25,35097,646,22892332,280776,5168,366277312,0.00332274,4.5854e-05,0.138691,0.425045,0.11169,0.679705,362619808,16,4373823488,5111783424,737959936
16,att100,att50,35097,1319,46724055,280776,10552,747584880,0.00221348,0.000116162,0.267619,0.755348,0.241449,1.26787,740119824,16,4372934656,5871149056,1498214400
16,att100,att75,35097,1992,70564792,280776,15936,1129036672,0.00817083,0.000612192,0.406642,1.10577,0.345043,1.8688,1117762656,16,4373860352,6632443904,2258583552
16,att100,att100,35097,2665,94414422,280776,21320,1510630752,0.00541491,0.000406904,0.555426,1.23582,0.450627,2.24908,1495546096,16,4440526848,7461015552,3020488704
