dataset_%,origin_attr_%,dest_attr_%
1,5,5
1,5,25
1,5,50
1,5,75
1,5,100
1,25,5
1,25,25
1,25,50
1,25,75
1,25,100
1,50,5
1,50,25
1,50,50
1,50,75
1,50,100
1,75,5
1,75,25
1,75,50
1,75,75
1,75,100
1,100,5
1,100,25
1,100,50
1,100,75
1,100,100
2,5,5
2,5,25
2,5,50
2,5,75
2,5,100
2,25,5
2,25,25
2,25,50
2,25,75
2,25,100
2,50,5
2,50,25
2,50,50
2,50,75
2,50,100
2,75,5
2,75,25
2,75,50
2,75,75
2,75,100
2,100,5
2,100,25
2,100,50
2,100,75
2,100,100
4,5,5
4,5,25
4,5,50
4,5,75
4,5,100
4,25,5
4,25,25
4,25,50
4,25,75
4,25,100
4,50,5
4,50,25
4,50,50
4,50,75
4,50,100
4,75,5
4,75,25
4,75,50
4,75,75
4,75,100
4,100,5
4,100,25
4,100,50
4,100,75
4,100,100
8,5,5
8,5,25
8,5,50
8,5,75
8,5,100
8,25,5
8,25,25
8,25,50
8,25,75
8,25,100
8,50,5
8,50,25
8,50,50
8,50,75
8,50,100
8,75,5
8,75,25
8,75,50
8,75,75
8,75,100
8,100,5
8,100,25
8,100,50
8,100,75
8,100,100
16,5,5
16,5,25
16,5,50
16,5,75
16,5,100
16,25,5
16,25,25
16,25,50
16,25,75
16,25,100
16,50,5
16,50,25
16,50,50
16,50,75
16,50,100
16,75,5
16,75,25
16,75,50
16,75,75
16,75,100
16,100,5
16,100,25
16,100,50
16,100,75
16,100,100